ages.i,tjja.central.degC,tjja+1sigma,tjja-1sigma,tdjf.Central.degC,tdjf+1sigma,tdjf-1sigma,tjja.GradientDifference.degC,tdjf.GradientDifference.degC
8750,18.70289868,19.17837038,18.22742698,-3.770160094,-3.294688396,-4.245631792,-0.457985299,0.927122793
8800,18.72768149,19.20315319,18.25220979,-3.778815035,-3.303343337,-4.254286733,-0.415872866,0.807488332
8850,18.75245985,19.22793155,18.27698815,-3.831619785,-3.356148087,-4.307091483,-0.445340829,0.442334583
8900,18.77723821,19.25270991,18.30176651,-3.884424536,-3.408952838,-4.359896234,-0.414844751,0.245804127
8950,18.78194336,19.25741506,18.30647166,-3.958832621,-3.483360923,-4.434304319,-0.324141861,0.342890323
9000,18.7574926,19.2329643,18.2820209,-3.997328836,-3.521857138,-4.472800534,-0.318460803,0.462189016
9050,18.73298902,19.20846072,18.25751732,-4.04119084,-3.565719142,-4.516662538,-0.343304247,0.460428736
9100,18.71116768,19.18663938,18.23569598,-4.093545616,-3.618073918,-4.569017314,-0.373804048,0.414655634
9150,18.6934282,19.1688999,18.2179565,-4.148440304,-3.672968606,-4.623912002,-0.458239306,0.253300799
9200,18.67974037,19.15521207,18.20426867,-4.195462788,-3.71999109,-4.670934486,-0.495944744,0.237816893
9250,18.66458235,19.14005405,18.18911065,-4.238178713,-3.762707015,-4.713650411,-0.479029381,0.368601717
9300,18.65756877,19.13304047,18.18209707,-4.229070904,-3.753599206,-4.704542602,-0.406133726,0.580363942
9350,18.6835978,19.1590695,18.2081261,-4.180482733,-3.705011035,-4.655954431,-0.277302614,0.800658509
9400,18.69827662,19.17374832,18.22280492,-4.132742919,-3.657271221,-4.608214617,-0.139862382,1.106740655
9450,18.71873724,19.19420894,18.24326554,-4.172615052,-3.697143354,-4.64808675,-0.053126822,1.188266389
9500,18.76189969,19.23737139,18.28642799,-4.280880691,-3.805408993,-4.756352389,0.126818747,1.219025444
9550,18.79189647,19.26736817,18.31642477,-4.362617555,-3.887145857,-4.838089253,0.304864064,1.312557053
9600,18.77516439,19.25063609,18.29969269,-4.427297781,-3.951826083,-4.902769479,0.34718088,1.286529091
9650,18.72187164,19.19734334,18.24639994,-4.532156168,-4.05668447,-5.007627866,0.33090803,1.340872695
9700,18.66965301,19.14512471,18.19418131,-4.616884865,-4.141413167,-5.092356563,0.274408951,1.310329671
9750,18.62837437,19.10384607,18.15290267,-4.680763574,-4.205291876,-5.156235272,0.28729381,1.351213605
9800,18.60559595,19.08106765,18.13012425,-4.722587134,-4.247115436,-5.198058832,0.346385228,1.469064146
9850,18.561243,19.0367147,18.0857713,-4.813133855,-4.337662157,-5.288605553,0.308688597,1.330923426
9900,18.50864411,18.98411581,18.03317241,-4.906013203,-4.430541505,-5.381484901,0.189465457,1.190999087
9950,18.48798704,18.96345874,18.01251534,-4.957569543,-4.482097845,-5.433041241,0.228411546,1.168241876
10000,18.5008047,18.9762764,18.025333,-4.982622231,-4.507150533,-5.458093929,0.378786888,1.338830761
10050,18.52240439,18.99787609,18.04693269,-5.030599939,-4.555128241,-5.506071637,0.482236214,1.304694062
10100,18.53917404,19.01464574,18.06370234,-5.024691424,-4.549219726,-5.500163122,0.541177383,1.427642837
10150,18.55041892,19.02589062,18.07494722,-4.990164251,-4.514692553,-5.465635949,0.614795716,1.719711384
10200,18.5507147,19.0261864,18.075243,-4.981474943,-4.506003245,-5.456946641,0.630277262,1.814112605
