Age,LakeElev.cm.below.mod,UpperBound,LowerBound,Lake_Level_Below_Modern
9550,-520.9453426,-362.6839431,-679.2067422,520.9453426
9600,-534.1732601,-374.3423037,-694.0042164,534.1732601
9650,-511.2159075,-353.0590188,-669.3727962,511.2159075
9700,-488.2359685,-331.7721707,-644.6997664,488.2359685
9750,-465.2892014,-310.5250567,-620.0533461,465.2892014
9800,-466.4705195,-311.2760371,-621.6650019,466.4705195
9850,-443.2482869,-289.6953861,-596.8011877,443.2482869
9900,-444.5137048,-290.552529,-598.4748806,444.5137048
9950,-445.7033868,-291.3151775,-600.0915961,445.7033868
10000,-446.7165994,-291.8507115,-601.5824873,446.7165994
10050,-386.39341,-236.1779557,-536.6088644,386.39341
10100,-313.4643128,-168.9573001,-457.9713256,313.4643128
10150,-250.3027046,-112.7931268,-387.8122823,250.3027046
10200,-199.1682233,-67.74123695,-330.5952097,199.1682233
10250,-172.5464216,-45.20368191,-299.8891614,172.5464216
10300,-160.4108753,-33.93411964,-286.887631,160.4108753
10350,-150.4612729,-22.6309876,-278.2915583,150.4612729
10400,-140.5043561,-11.31961698,-269.6890953,140.5043561
10450,-130.5460553,0,-261.0921106,130.5460553
10500,-130.7250714,0,-261.4501429,130.7250714
10550,-130.9023865,0,-261.8047731,130.9023865
10600,-131.0789748,0,-262.1579497,131.0789748
10650,-131.2568297,0,-262.5136595,131.2568297
10700,-131.4359512,0,-262.8719025,131.4359512
10750,-131.6159459,0,-263.2318917,131.6159459
10800,-131.7961569,0,-263.5923139,131.7961569
10850,-131.9765844,0,-263.9531689,131.9765844
10900,-132.15598,0,-264.3119601,132.15598
10950,-132.3341,0,-264.6681999,132.3341
11000,-132.5108108,0,-265.0216215,132.5108108
11050,-132.6840185,0,-265.3680369,132.6840185
11100,-132.8538889,0,-265.7077778,132.8538889
11150,-133.0205856,0,-266.0411712,133.0205856
11200,-133.188033,0,-266.3760661,133.188033
11250,-133.3562312,0,-266.7124625,133.3562312
11300,-133.5251199,0,-267.0502398,133.5251199
11350,-133.6936307,0,-267.3872614,133.6936307
11400,-133.8617636,0,-267.7235272,133.8617636
11450,-134.0293151,0,-268.0586301,134.0293151
11500,-134.1945287,0,-268.3890573,134.1945287
11550,-134.3574044,0,-268.7148089,134.3574044
11600,-134.5181761,0,-269.0363523,134.5181761
11650,-134.6805289,0,-269.3610579,134.6805289
11700,-134.8444788,0,-269.6889576,134.8444788
11750,-158.4761036,-23.11460633,-293.8376008,158.4761036
11800,-182.1511931,-46.24606529,-318.0563209,182.1511931
11850,-221.2356061,-80.96858303,-361.5026292,221.2356061
11900,-249.9287328,-104.1841674,-395.6732983,249.9287328
11950,-278.6724004,-127.4148582,-429.9299427,278.6724004
12000,-279.0659101,-127.4879221,-430.6438981,279.0659101
12050,-250.9683645,-104.370793,-397.5659359,250.9683645
12100,-209.7252933,-69.62324509,-349.8273415,209.7252933
12150,-181.4408826,-46.45033629,-316.4314289,181.4408826
12200,-168.5916255,-34.86797454,-302.3152765,168.5916255
12250,-168.810984,-34.89194348,-302.7300245,168.810984
12300,-169.0300186,-34.91571232,-303.1443248,169.0300186
12350,-158.4966828,-23.28501246,-293.7083532,158.4966828
12400,-147.9461761,-11.64644169,-284.2459106,147.9461761
12450,-137.3780762,0,-274.7561524,137.3780762
12500,-137.5432583,0,-275.0865167,137.5432583
12550,-161.8581371,-23.37138189,-300.3448923,161.8581371
12600,-202.1401144,-58.45179739,-345.8284314,202.1401144
12650,-282.9258318,-128.6594164,-437.1922471,282.9258318
12700,-326.4429846,-163.8340663,-489.0519029,326.4429846
12750,-340.7128484,-175.6222222,-505.8034746,340.7128484
12800,-314.7225561,-152.3149323,-477.1301798,314.7225561
12850,-315.7302431,-152.4341272,-479.0263589,315.7302431
12900,-343.989048,-176.0116061,-511.9664899,343.989048
12950,-386.0757524,-211.3540106,-560.7974943,386.0757524
13000,-400.8180428,-223.2298593,-578.4062262,400.8180428
13050,-401.9107708,-223.3721881,-580.4493535,401.9107708
13100,-403.1736949,-223.5377878,-582.8096021,403.1736949
13150,-404.3037937,-223.6800457,-584.9275416,404.3037937
13200,-419.492466,-235.6111111,-603.3738209,419.492466
13250,-434.924708,-247.5741023,-622.2753138,434.924708
13300,-436.1322358,-247.7161007,-624.5483709,436.1322358
13350,-409.1162314,-224.2567981,-593.9756646,409.1162314
13400,-367.985884,-188.9847204,-546.9870475,367.985884
13450,-369.3635036,-189.1270757,-549.5999315,369.3635036
13500,-384.8988095,-201.0832119,-568.7144072,384.8988095
13550,-414.8768834,-224.8927834,-604.8609834,414.8768834
13600,-430.5919221,-236.8888297,-624.2950145,430.5919221
13650,-417.2175714,-225.1715861,-609.2635566,417.2175714
13700,-389.2657432,-201.601027,-576.9304594,389.2657432
13750,-346.5188651,-166.1392811,-526.898449,346.5188651
13800,-332.7257985,-154.3736141,-511.077983,332.7257985
13850,-304.0959171,-130.7089136,-477.4829205,304.0959171
13900,-290.0243304,-118.9039814,-461.1446794,290.0243304
13950,-275.9441793,-107.0911654,-444.7971932,275.9441793
14000,-276.5934317,-107.1616541,-446.0252092,276.5934317
14050,-292.1948737,-119.1550752,-465.2346722,292.1948737
14100,-353.0559908,-166.9484127,-539.1635689,353.0559908
14150,-368.8789966,-178.9583333,-558.7996599,368.8789966
14200,-369.7875327,-179.0537845,-560.521281,369.7875327
14250,-310.2648657,-131.4033104,-489.126421,310.2648657
14300,-295.8319827,-119.5367296,-472.1272359,295.8319827
14350,-281.3244816,-107.6623209,-454.9866423,281.3244816
14400,-281.9764045,-107.734556,-456.2182531,281.9764045
