,AbsDepth,Adjust.Depth,Section,Bottom.increment.cm,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,LOI
624,1223,638,8,44,1223,12814.675,13790.25,14398,15061.5,16720.575,5.159075772
625,1224,639,8,45,1224,12818.975,13815.5,14419,15076,16786.15,5.22616918
626,1225,640,8,46,1225,12822.925,13825,14434.5,15093,16825.325,5.155272895
627,1226,641,8,47,1226,12826.875,13839.25,14469.5,15111.25,16841.475,5.152966845
628,1227,642,8,48,1227,12829.85,13854.75,14483.5,15149,16919.375,4.997960241
629,1228,643,8,49,1228,12833.8,13887.25,14512.5,15175.75,16948.075,4.818579867
630,1229,644,8,50,1229,12837.75,13902.25,14528.5,15194.75,16967.25,4.716741468
631,1230,645,8,51,1230,12841.7,13919.75,14550,15214.25,17005.3,4.642974402
632,1231,646,8,52,1231,12845.65,13935.75,14564,15239.75,17034.425,4.589903097
633,1232,647,8,53,1232,12849.6,13952.25,14585.5,15276.5,17063.725,4.807072712
634,1233,648,8,54,1233,12853.575,13975.75,14605,15304.25,17100.4,4.643806454
635,1234,649,8,55,1234,12856.625,13995.25,14644.5,15324.25,17125.725,4.672005869
636,1235,650,8,56,1235,12860.65,14005,14660,15350,17149.9,4.569849567
637,1236,651,8,57,1236,12864.675,14020,14667,15376.5,17177.975,4.70293096
638,1237,652,8,58,1237,12868.7,14046.25,14695,15395.25,17250.125,4.940028461
639,1238,653,8,59,1238,12872.725,14058.75,14710,15415.5,17261.625,5.146385045
640,1239,654,8,60,1239,12876.75,14074.75,14723.5,15435.25,17267.6,4.95247072
641,1240,655,8,61,1240,12880.75,14100,14750.5,15457.5,17297.55,5.042622951
642,1241,656,8,62,1241,12883.8,14111.25,14780,15477.25,17322.925,4.869800119
643,1242,657,8,63,1242,12887.825,14129.5,14794,15501.5,17351.475,4.884669062
644,1243,658,8,64,1243,12891.85,14141.75,14816,15532.5,17462.65,4.905052674
645,1244,659,8,65,1244,12896.975,14158.5,14838,15545,17467.525,4.315419177
646,1245,660,8,66,1245,12899.975,14179.5,14865,15563.75,17471.275,4.868669123
647,1246,661,8,67,1246,12903.925,14199.25,14880,15587.25,17485.45,4.512218588
