Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P.strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun
925,925,925,6545.925,6682,6758,6897.25,7337.325,0,1,2,10,1,0,74,4,3,0,0,0,132,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,6,2,0,0,96,0,0,0,0,4,164,6,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0
930,930,930,6591.85,6780.5,6884.5,7038,7408.225,0,1,1,10,5,0,102,7,3,0,0,1,105,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,8,2,5,0,0,98,0,0,0,0,6,136,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
935,935,935,6636.925,6874,7005,7159.5,7465.05,0,5,5,12,3,0,73,9,0,0,0,0,121,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,8,2,4,0,0,97,2,0,0,0,7,128,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
940,940,940,6685.85,6971.25,7125,7270.5,7525.2,0,3,0,8,1,0,89,7,0,1,0,0,133,1,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,12,0,5,1,1,91,0,0,0,0,4,134,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
945,945,945,6736.875,7078,7246.5,7365,7570.025,0,1,2,9,1,0,71,7,2,0,0,1,102,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,12,2,8,0,0,103,0,0,0,0,5,120,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0
950,950,950,6823.725,7217,7365,7469,7622.075,0,0,2,8,2,0,75,4,2,0,0,0,122,0,9,1,5,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,1,4,4,9,0,0,137,0,0,0,0,2,73,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
955,955,955,6968.575,7362,7486,7562,7692,0,2,5,11,1,1,76,7,0,0,0,0,122,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,12,2,3,0,0,112,0,0,0,0,5,111,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
959,959,959,7075.925,7507.75,7584.5,7639,7754,0,2,2,14,2,0,98,6,0,0,0,1,116,0,18,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,8,0,5,0,0,115,0,0,0,0,2,98,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,963,963,7596.95,7674,7727.5,7796,8157.3,0,2,1,10,3,0,97,15,1,0,0,1,124,0,9,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,2,5,4,0,1,104,0,0,0,0,6,105,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0
967,967,967,7645.925,7761,7848,8017,8745.025,0,9,0,14,0,0,75,7,0,0,0,0,134,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,1,2,0,0,129,0,0,0,0,7,96,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
972,972,972,7690.975,7854.75,7980.5,8211.25,9000.3,0,7,4,5,2,0,88,5,0,0,0,0,114,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,2,6,12,2,0,0,110,0,0,0,0,2,121,5,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
976,976,976,7732.95,7922,8080,8347.25,9152.125,0,1,3,7,1,5,91,6,1,0,0,0,94,2,8,1,7,1,0,0,0,0,0,0,0,0,1,0,0,3,9,0,7,13,1,0,0,0,132,0,0,0,0,8,109,5,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
995,996,995,7893.95,8269.75,8588.5,8919.5,9694.1,0,0,0,13,4,1,112,6,0,0,0,0,113,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,7,3,5,0,0,97,0,0,0,0,8,118,11,0,0,0,0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
1014,1014,1014,8117.825,8758,9092.5,9396.5,9997.275,0,0,0,4,1,0,48,3,0,0,0,0,34,3,5,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19,2,16,51,6,2,0,0,210,1,0,0,0,1,73,10,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
